#id	length	8Cell_Ctrl_rep1	8Cell_Ctrl_rep2	8Cell_Ctrl_rep3	8Cell_siKlf5_rep1	8Cell_siKlf5_rep2	8Cell_siKlf5_rep3
1110034G24Rik	1471	16	69	18	27	21	34
1110036E04Rik	777	1	0	0	2	0	2
1110037F02Rik	7115	2851	3124	3041	3185	2830	2758
1110038B12Rik	589	747	811	716	912	823	750
1110038F14Rik	1091	958	1126	1035	1247	989	987
1110046J04Rik	777	0	0	2	0	0	2
1110051M20Rik	1979	84	90	110	56	104	66
1110058D11Rik	667	6	0	4	0	0	1
1110059E24Rik	1428	209	248	292	264	248	194
1110059G10Rik	3361	269	274	274	341	269	284
1110065P20Rik	762	12	15	12	10	11	15
1190002F15Rik	607	0	0	0	0	0	0
1190002N15Rik	3950	140	132	232	242	214	164
1190003K10Rik	1097	0	0	0	0	0	0
1190005I06Rik	734	0	0	2	0	0	0
1190007I07Rik	748	3	7	19	14	10	14
1200014J11Rik	6284	3136	3087	3342	4117	3278	3029
1300002E11Rik	3959	69	58	39	70	81	21
1300017J02Rik	2275	19	7	9	37	25	21
1500004A13Rik	3629	85	132	100	94	42	52
1500009C09Rik	1904	98	89	90	72	68	51
1500009L16Rik	1194	162	209	196	181	273	147
1500011B03Rik	1739	105	81	103	143	94	127
1500011K16Rik	811	44	38	56	60	22	44
1500012F01Rik	738	434	402	483	495	466	515
1500012K07Rik	2626	0	0	0	1	0	0
1500015A07Rik	1864	44	28	52	61	22	30
1500015L24Rik	778	0	0	0	0	0	0
1500015O10Rik	888	0	1	0	7	0	0
1500017E21Rik	2662	2	0	1	0	0	0
1500026H17Rik	3035	12	44	33	28	22	23
1600002D24Rik	2215	2	15	6	10	12	15
1600002H07Rik	2143	383	540	431	524	340	429
1600002K03Rik	651	300	358	323	338	242	319
1600010M07Rik	616	97	130	115	145	134	143
1600012H06Rik	2756	408	527	488	646	486	533
1600014C10Rik	3450	47	60	47	74	45	34
1600014C23Rik	518	0	0	0	0	0	0
1600014K23Rik	840	0	12	0	6	11	0
1600015I10Rik	2484	10	5	18	21	11	28
1600019K03Rik	477	0	0	0	0	0	0
1600020E01Rik	681	156	238	218	314	235	195
1600023N17Rik	1008	12	2	8	22	10	10
1600025M17Rik	547	40	44	30	32	52	90
1600027J07Rik	489	0	0	0	3	0	0
1600029I14Rik	864	2	0	4	8	10	2
1600029O15Rik	1809	5	4	4	10	9	14
1700001C02Rik	712	2	1	4	0	1	9
1700001C19Rik	1801	36	34	35	21	26	12
1700001D01Rik	565	0	19	11	4	8	11
1700001F09Rik	883	0	0	0	0	0	2
1700001G01Rik	1562	0	0	0	0	2	2
1700001G11Rik	769	0	0	0	0	0	0
1700001G17Rik	889	20	2	14	4	0	0
1700001J03Rik	778	6	2	1	10	0	5
1700001J11Rik	2468	0	4	4	0	0	0
1700001K19Rik	954	42	73	23	34	72	68
1700001K23Rik	488	1	0	0	1	0	0
1700001L05Rik	6003	315	423	336	336	305	313
1700001L19Rik	1808	1	4	8	8	6	0
1700001O22Rik	1591	72	112	86	81	54	50
1700001P01Rik	624	30	50	47	98	42	80
1700003C15Rik	709	0	0	0	0	0	0
1700003D09Rik	1389	0	1	0	0	0	2
1700003E16Rik	2050	38	52	24	66	23	46
1700003E24Rik	1016	0	0	0	0	0	0
1700003F12Rik	733	8	28	23	13	15	11
1700003G13Rik	705	0	0	0	0	0	0
1700003G18Rik	620	0	0	0	1	0	1
1700003H04Rik	757	0	0	0	0	1	0
1700003I22Rik	482	0	0	0	0	0	0
1700003L19Rik	746	0	0	4	0	0	0
1700003M02Rik	1716	40	23	35	48	47	15
1700003M07Rik	2315	2	0	2	0	0	0
1700003P14Rik	994	0	0	0	0	0	0
1700006A11Rik	1983	0	0	0	0	0	0
1700006E09Rik	698	0	3	1	14	0	0
1700006F04Rik	439	0	0	0	0	1	0
1700006H21Rik	622	0	5	0	0	0	0
1700007B14Rik	2161	0	1	2	0	2	0
1700007F19Rik	1642	1	1	0	0	0	0
1700007G11Rik	861	10	7	4	12	14	12
1700007J10Rik	1111	28	34	34	41	7	11
1700007K09Rik	676	4	0	8	20	0	3
1700007K13Rik	804	4	6	4	0	0	4
1700007L15Rik	747	95	56	99	59	29	44
1700007P06Rik	823	0	1	0	0	1	1
1700008C04Rik	799	0	2	0	1	0	0
1700008J07Rik	2432	73	99	93	84	56	67
1700008K24Rik	947	0	0	0	0	0	0
1700008O03Rik	911	7	4	0	16	4	9
1700008P02Rik	788	0	0	0	0	0	0
1700009C05Rik	787	0	0	0	0	0	0
1700009J07Rik	914	0	0	0	0	0	0
1700009N14Rik	1262	8	0	0	0	0	0
1700010B08Rik	896	0	0	0	1	0	0
1700010D01Rik	503	0	6	0	0	9	1
1700010I02Rik	436	0	0	0	0	0	0
1700010I14Rik	1878	12	2	2	14	13	2
1700010J16Rik	887	0	0	0	8	2	0
1700010K23Rik	376	0	0	0	0	0	0
1700011A15Rik	903	0	0	0	0	2	0
1700011B04Rik	648	0	0	1	0	2	0
1700011C11Rik	363	0	0	0	0	0	2
1700011E24Rik	847	2	0	7	4	2	3
1700011H14Rik	1167	0	0	0	2	0	0
1700011I03Rik	967	6	10	2	0	2	2
1700011L22Rik	978	0	0	0	0	0	1
1700011M02Rik	420	0	0	0	0	0	0
1700012A03Rik	915	0	0	1	0	0	0
1700012B07Rik	1470	28	5	0	14	8	4
1700012B09Rik	685	0	1	0	0	0	0
1700012C14Rik	498	1	3	10	2	0	2
1700012D01Rik	695	0	12	8	6	10	4
1700012D14Rik	629	18	27	31	29	12	39
1700012D16Rik	579	0	0	2	0	0	0
1700012H19Rik	405	2	0	0	0	0	0
1700012I11Rik	1039	0	4	4	8	0	0
1700012L04Rik	525	0	0	0	2	0	0
1700012P22Rik	972	0	10	0	0	2	0
1700013D24Rik	534	0	4	0	0	0	0
1700013F07Rik	592	0	0	0	0	0	1
1700013G24Rik	1036	0	0	0	0	0	0
1700013H16Rik	1224	44	14	42	64	42	58
1700015E13Rik	713	0	1	0	0	0	0
1700015F17Rik	710	0	0	0	2	0	1
1700015G11Rik	388	0	0	0	0	1	0
1700016C15Rik	749	3	18	0	20	7	2
1700016D06Rik	1263	25	26	46	19	7	12
1700016G22Rik	593	1	0	8	0	2	0
1700016H13Rik	946	24	6	36	46	19	4
1700016K19Rik	921	90	106	98	76	86	51
1700016L04Rik	910	0	0	2	0	0	0
1700016L21Rik	394	0	0	0	0	0	2
1700016P04Rik	429	0	0	0	0	0	0
1700017B05Rik	4934	1626	1613	1816	1446	1176	1185
1700017D01Rik	1194	0	1	0	0	0	3
1700017G19Rik	2439	0	0	0	0	0	0
1700017J07Rik	472	1	0	0	0	0	0
1700017L05Rik	564	0	1	0	0	0	4
1700017N19Rik	1690	0	0	8	0	4	0
1700018A04Rik	714	0	0	0	0	0	0
1700018B08Rik	1080	13	15	0	21	15	21
1700018B24Rik	3370	100	52	68	112	82	84
1700018C11Rik	671	0	0	0	0	0	0
1700018F24Rik	1119	0	0	0	0	4	4
1700018G05Rik	399	0	0	0	0	0	0
1700018L02Rik	1247	0	0	0	0	0	2
1700019A02Rik	627	0	0	4	2	0	1
1700019B03Rik	1613	5	2	4	7	8	2
1700019B21Rik	778	9	2	0	8	2	10
1700019C18Rik	410	0	0	0	2	0	2
1700019D03Rik	834	6	0	0	0	16	14
1700019E08Rik	635	11	16	21	6	7	6
1700019G17Rik	3278	23	44	8	39	35	10
1700019G24Rik	515	0	0	0	1	0	2
1700019L03Rik	1675	366	431	364	319	224	252
1700019M22Rik	602	0	4	0	2	4	2
1700019N19Rik	923	1	2	5	1	5	8
1700019O17Rik	1721	12	8	2	0	4	16
1700020A23Rik	733	2	17	4	2	8	22
1700020D05Rik	1019	0	6	4	7	6	4
1700020D14Rik	1208	0	0	0	0	0	0
1700020G17Rik	610	0	0	0	0	0	1
1700020I14Rik	1549	504	584	607	721	656	548
1700020L24Rik	931	0	1	16	2	6	0
1700020M21Rik	642	15	23	24	25	47	22
1700020N01Rik	1061	0	0	0	0	0	0
1700020N15Rik	546	0	0	0	0	0	8
1700020N18Rik	547	1	0	0	0	0	0
1700021F05Rik	898	2950	3160	2914	3607	3297	2995
1700021F07Rik	641	0	0	0	0	0	0
1700021K19Rik	5343	221	307	285	202	156	253
1700021N21Rik	905	0	0	0	0	0	4
1700022A21Rik	1448	47	25	39	10	9	39
1700022A22Rik	855	0	0	0	0	0	0
1700022E09Rik	385	0	8	7	0	0	0
1700022H01Rik	684	0	6	0	10	1	0
1700022H16Rik	476	0	0	0	0	0	0
1700022I11Rik	3726	210	168	230	160	98	180
1700023C21Rik	389	0	0	0	0	0	0
1700023F02Rik	345	0	0	0	0	0	0
1700023F06Rik	1199	0	0	3	0	0	0
1700024B18Rik	423	0	0	0	0	0	0
1700024F13Rik	669	2	7	4	4	2	10
1700024G13Rik	398	0	0	0	0	0	0
1700024I08Rik	759	0	4	0	0	0	0
1700024N05Rik	985	0	0	0	0	0	0
1700024P04Rik	476	41	36	32	43	23	21
1700024P16Rik	3258	53	29	23	26	50	24
1700025B11Rik	552	0	0	0	0	0	0
1700025C18Rik	702	0	0	0	0	0	0
1700025F22Rik	631	0	0	0	0	0	0
1700025F24Rik	894	19	9	2	6	0	8
1700025G04Rik	9754	344	509	372	386	405	246
1700025J12Rik	630	2	0	0	0	6	0
1700025K24Rik	740	0	0	1	0	0	0
1700025M24Rik	770	0	0	0	0	0	0
1700025N23Rik	902	3	1	0	0	3	0
1700026D08Rik	1294	0	8	1	6	0	0
1700026D11Rik	847	72	50	40	52	39	22
1700026F02Rik	482	0	8	0	0	0	1
1700026J14Rik	794	0	0	8	11	0	4
1700026L06Rik	671	12	0	4	7	7	0
1700027A15Rik	571	0	0	0	0	0	0
1700027F06Rik	403	1	0	1	0	0	4
1700027F09Rik	766	0	0	0	0	0	0
1700027H10Rik	583	0	0	0	0	0	0
1700027I24Rik	696	25	4	1	19	17	8
1700027J07Rik	1060	0	0	0	0	0	0
1700028B04Rik	552	0	0	0	0	2	0
1700028D13Rik	716	0	0	0	0	0	0
1700028E10Rik	2718	12	6	18	8	10	10
1700028I16Rik	1056	0	2	8	2	0	0
1700028J19Rik	1187	4	10	1	0	4	0
1700028K03Rik	3253	26	38	39	59	27	39
1700028M03Rik	468	0	0	0	0	0	0
1700028P14Rik	868	0	0	2	0	2	0
1700028P15Rik	856	0	0	0	0	0	0
1700029B22Rik	697	0	0	0	0	0	0
1700029F12Rik	1183	13	4	9	21	5	16
1700029H14Rik	1432	0	3	0	0	1	4
1700029I15Rik	364	53	50	59	28	62	37
1700029J03Rik	789	0	2	1	1	0	0
1700029J07Rik	2740	28	33	47	37	24	34
1700029M20Rik	2963	0	0	2	0	0	2
1700029N11Rik	565	0	0	0	0	0	0
1700029P11Rik	1024	74	98	114	143	126	92
1700030A11Rik	888	0	0	0	0	0	0
1700030C10Rik	1724	78	122	94	114	129	94
1700030F04Rik	418	0	0	2	0	0	1
1700030F18Rik	621	13	19	24	21	10	19
1700030J22Rik	2971	148	247	310	379	189	201
1700030K09Rik	2427	30	75	85	63	32	50
1700030L20Rik	985	0	0	0	0	0	0
1700030M09Rik	964	7	17	8	13	14	16
1700030N03Rik	395	0	2	4	0	3	3
1700030O20Rik	594	0	4	0	0	4	0
1700031A10Rik	656	2	5	1	1	0	0
1700031F05Rik	1360	0	0	2	0	0	0
1700031M16Rik	824	6	10	3	0	18	2
1700031P21Rik	304	0	0	0	0	0	2
1700034E13Rik	477	0	0	1	0	0	0
1700034G24Rik	1081	0	0	0	0	0	1
1700034H15Rik	4362	641	579	571	754	678	685
1700034I23Rik	2345	6	2	6	8	4	3
1700034J05Rik	2034	6	0	0	0	0	8
1700034K08Rik	617	0	0	0	0	8	0
1700034O15Rik	741	0	6	4	8	0	0
1700034P13Rik	1494	4	1	2	2	10	3
1700036G14Rik	539	2	0	2	0	0	0
1700037C18Rik	1097	7	45	18	31	25	1
1700037H04Rik	1241	46	38	42	69	41	36
1700039E15Rik	1732	2	6	6	6	0	2
1700039E22Rik	770	4	0	0	0	0	5
1700040L02Rik	1238	0	0	4	0	0	0
1700041A01Rik	369	0	0	0	0	0	0
1700041C23Rik	397	0	0	0	0	0	6
1700041M19Rik	1129	19	12	12	24	22	18
1700042G07Rik	392	0	1	0	8	2	0
1700042G15Rik	2030	20	16	32	17	14	17
1700042O10Rik	1075	1	6	4	4	4	0
1700044C05Rik	893	0	1	8	0	0	0
1700044K03Rik	378	1	17	18	23	18	6
1700045H11Rik	593	1	4	1	0	0	2
1700046C09Rik	562	0	0	0	0	0	0
1700047A11Rik	620	2	0	0	1	0	0
1700047E10Rik	568	0	0	6	4	4	9
1700047G03Rik	840	4	2	4	0	1	1
1700047I17Rik2	7682	0	0	0	0	0	0
1700047L14Rik	514	0	2	4	1	1	2
1700047M11Rik	686	0	0	0	1	2	8
1700048M11Rik	483	3	0	2	0	1	0
1700048O20Rik	1848	39	30	62	43	32	28
1700049E15Rik	921	0	1	0	12	6	1
1700049E22Rik	507	4	0	0	0	0	0
1700049G17Rik	5158	407	429	363	418	453	473
1700049L16Rik	806	0	0	0	0	1	0
1700051A21Rik	1358	0	0	0	0	0	0
1700052I22Rik	377	0	0	0	0	0	2
1700052K11Rik	2413	53	55	27	65	46	80
1700054A03Rik	780	0	2	0	0	0	0
1700054K19Rik	451	0	0	0	0	0	0
1700054M17Rik	445	2	2	0	0	2	2
1700055C04Rik	355	0	0	0	0	0	0
1700056E22Rik	967	11	27	18	24	8	22
1700057G04Rik	1052	0	0	1	2	0	0
1700057H15Rik	980	2	0	1	0	2	18
1700057H21Rik	506	0	0	0	6	4	2
1700060C16Rik	645	1	2	0	0	0	0
1700060C20Rik	590	0	1	0	1	0	0
1700061F12Rik	883	1	0	0	0	0	0
1700061G19Rik	2455	79	155	116	195	132	151
1700061I17Rik	1962	0	1	0	0	0	0
1700061J23Rik	537	4	16	1	4	3	0
1700063A18Rik	356	0	0	0	0	0	0
1700063D05Rik	709	0	8	0	0	0	0
1700063O14Rik	492	0	0	4	0	1	0
1700064J06Rik	386	0	0	8	1	0	0
1700064M15Rik	645	0	0	0	0	0	0
1700065D16Rik	758	0	0	0	0	0	0
1700065I16Rik	843	0	0	0	2	0	0
1700065J11Rik	428	0	0	0	0	0	3
1700065J18Rik	404	1	0	0	0	0	0
1700065L07Rik	635	0	0	0	0	0	0
1700065O20Rik	702	30	30	11	13	19	18
1700066B17Rik	531	0	0	0	2	0	0
1700066B19Rik	2504	12	13	10	6	8	5
1700066J03Rik	516	0	1	0	4	5	1
1700066M21Rik	3007	146	134	194	126	158	114
1700066N21Rik	774	0	0	0	0	0	0
1700066O22Rik	960	0	0	2	0	0	0
1700067G17Rik	603	12	13	36	2	17	5
1700067K01Rik	1084	26	34	75	67	75	66
1700067P10Rik	794	1	9	0	4	0	2
1700069L16Rik	704	15	33	40	9	14	19
1700069P05Rik	787	0	4	0	0	0	0
1700071K01Rik	1038	0	0	0	0	0	0
1700071M16Rik	2504	14	0	14	6	17	10
1700072B07Rik	445	0	0	0	0	0	0
1700072I22Rik	878	0	0	0	0	0	2
1700072O05Rik	668	8	0	2	7	12	0
1700073E17Rik	4599	0	2	0	0	0	0
1700074H08Rik	547	0	1	4	2	6	3
1700074P13Rik	1647	0	0	0	0	0	0
1700080E11Rik	871	2	2	3	0	8	2
1700080N15Rik	434	0	0	0	4	6	0
1700080O16Rik	1454	62	129	104	112	128	112
1700081H04Rik	1126	0	0	0	0	6	0
1700084C01Rik	1440	0	0	0	0	0	4
1700084D21Rik	451	0	0	0	0	0	0
1700084E18Rik	434	2	20	3	12	7	2
1700084F23Rik	1044	12	0	2	10	1	0
1700084J12Rik	731	0	2	0	0	4	10
1700084M14Rik	558	0	6	0	0	0	0
1700085C21Rik	1082	0	0	0	0	0	0
1700086L19Rik	1046	0	0	0	4	1	0
1700086O06Rik	1931	4	16	1	13	8	10
1700088E04Rik	1253	9	8	9	16	4	0
1700091H14Rik	1388	0	0	0	1	0	1
1700092C02Rik	358	0	0	1	0	0	0
1700092C10Rik	569	0	0	0	0	0	0
1700092E19Rik	1641	0	0	0	1	4	0
1700092K14Rik	395	0	1	6	0	0	0
1700092M07Rik	380	113	98	122	140	136	151
1700093K21Rik	1447	4	12	18	41	32	16
1700094D03Rik	3097	63	87	97	84	51	56
1700094J05Rik	997	10	21	13	20	5	29
1700094M24Rik	664	0	0	0	0	0	1
1700095A21Rik	1069	41	88	78	52	43	29
1700095B10Rik	1047	0	0	2	1	1	0
1700095J12Rik	752	1	7	12	14	9	10
1700096J18Rik	454	0	0	6	8	0	0
1700096K18Rik	1449	75	76	137	110	106	80
1700096P03Rik	437	0	0	0	0	0	0
1700097N02Rik	845	0	0	5	4	1	2
1700099I09Rik	885	1	0	0	1	0	0
1700100I10Rik	1407	0	0	4	0	0	0
1700100L14Rik	682	0	9	1	10	6	1
1700101E01Rik	931	43	40	58	33	36	57
1700101I11Rik	806	0	2	6	0	0	0
1700101O22Rik	339	0	0	0	0	0	0
1700102H20Rik	563	0	0	0	3	0	0
1700102P08Rik	1098	17	27	16	24	14	21
1700104L18Rik	598	0	0	0	0	2	0
1700105P06Rik	555	22	29	21	20	24	6
1700106J16Rik	1219	0	0	0	0	0	0
1700108F19Rik	868	0	0	0	5	0	0
1700108J01Rik	468	10	6	19	18	11	2
1700109G14Rik	798	0	0	0	0	0	2
1700109G15Rik	384	0	0	0	0	0	0
1700109H08Rik	715	28	25	60	47	18	33
1700109I08Rik	396	0	0	0	0	1	0
1700109K24Rik	1090	23	10	10	4	9	17
1700110C19Rik	722	0	1	2	0	0	0
1700110I01Rik	5106	0	0	0	0	0	0
1700110I07Rik	726	0	0	0	0	2	0
1700110K17Rik	708	1	12	9	12	2	3
1700111N16Rik	1132	14	9	0	3	0	2
1700112E06Rik	911	0	10	0	6	0	8
1700112H15Rik	778	0	1	0	0	2	9
1700112J05Rik	800	2	9	11	3	3	5
1700112J16Rik	2490	3	6	4	6	0	4
1700113A16Rik	983	38	58	45	27	34	39
1700113B09Rik	430	0	0	0	0	0	0
1700113H08Rik	1343	0	0	0	0	0	0
1700116B05Rik	414	0	0	0	0	0	0
1700119H24Rik	586	2	0	0	0	0	0
1700120C14Rik	388	17	9	12	4	6	2
1700120E14Rik	1932	2	4	0	11	2	4
1700120G07Rik	884	0	3	0	0	4	4
1700120K04Rik	543	9	18	20	30	5	28
1700121L16Rik	561	0	0	0	0	0	0
1700121N20Rik	1028	0	0	3	0	0	0
1700122C19Rik	799	0	0	0	0	0	0
1700122O11Rik	771	0	0	0	0	2	0
1700123I01Rik	1613	430	594	336	434	378	410
1700123J17Rik	1847	6	16	3	4	4	6
1700123K08Rik	1047	0	1	1	0	0	0
1700123L14Rik	1703	0	0	0	0	0	1
1700123M08Rik	1066	27	17	8	5	14	28
1700123O12Rik	568	0	0	3	0	4	1
1700123O20Rik	1889	144	264	195	247	160	139
1700123O21Rik	675	3	4	3	9	0	4
1700124L16Rik	346	0	4	4	0	0	9
1700125G02Rik	519	24	5	19	21	22	7
1700125G22Rik	861	25	27	7	19	4	1
1700125H03Rik	760	0	0	0	1	0	0
1700125H20Rik	975	8	14	16	10	7	3
1700126H18Rik	404	9	12	18	2	5	7
1700128A07Rik	860	0	0	0	0	0	0
1700128F08Rik	1110	0	0	0	2	2	2
1700129C05Rik	1067	0	0	0	0	2	0
1810006J02Rik	1687	0	0	0	0	0	0
1810007C17Rik	708	0	0	0	0	0	0
1810007D17Rik	742	0	0	0	1	0	3
1810008I18Rik	691	0	0	0	0	0	0
1810009A15Rik	813	14	20	13	17	10	11
1810009J06Rik	856	0	0	0	0	0	0
1810010D01Rik	935	4	4	9	1	9	4
1810010H24Rik	1099	46	66	54	72	26	35
1810011H11Rik	1473	0	0	0	0	0	0
1810011O10Rik	1331	0	0	2	0	0	4
1810012K16Rik	542	12	2	6	3	2	0
1810013A23Rik	417	28	39	13	39	3	15
1810013L24Rik	4074	3985	4410	4515	5804	5099	4793
1810014B01Rik	1620	8	6	17	6	8	16
1810018F18Rik	1447	1	0	0	2	0	0
1810019D21Rik	1646	962	1330	1193	1301	936	805
1810020O05Rik	1047	36	18	28	36	28	25
1810021B22Rik	654	3	2	0	1	0	3
1810022K09Rik	401	1382	1638	1736	1172	1195	1318
1810024B03Rik	1266	13	23	10	28	6	11
1810026B05Rik	5143	195	241	241	349	173	323
1810026J23Rik	3170	1910	2153	2013	2350	1855	1665
1810030O07Rik	2572	284	277	222	321	273	352
1810032O08Rik	1997	283	276	226	357	186	255
1810034E14Rik	1802	582	502	546	506	431	461
1810037I17Rik	976	86	82	47	93	76	68
1810041H14Rik	499	92	88	80	38	39	28
1810041L15Rik	5917	26	9	6	30	0	4
1810043G02Rik	1696	4	6	5	14	46	35
1810043H04Rik	494	243	256	359	298	359	313
1810044D09Rik	486	34	32	43	36	18	20
1810046K07Rik	1318	3	1	2	4	0	0
1810053B23Rik	2583	0	1	0	0	0	0
1810055G02Rik	1882	292	392	403	306	306	309
1810058I24Rik	1302	97	164	105	105	126	137
1810062G17Rik	911	0	0	0	0	2	2
1810062O18Rik	751	22	14	7	16	10	12
1810063I02Rik	274	9	0	0	2	1	6
1810064F22Rik	2302	2	0	0	0	2	0
1810065E05Rik	925	0	0	6	0	0	1
2010001A14Rik	764	8	0	16	11	5	0
2010001E11Rik	2285	0	0	0	2	0	0
2010003K11Rik	1167	0	0	2	0	2	0
2010005H15Rik	528	0	0	0	0	0	1
2010009K17Rik	570	15	9	14	19	23	13
2010010A06Rik	1204	7	2	4	12	0	1
2010012O05Rik	2176	58	110	98	105	111	112
2010016I18Rik	1558	3	2	4	21	1	1
2010106C02Rik	657	3	2	0	0	2	2
2010106E10Rik	1287	0	0	0	0	0	0
2010107E04Rik	365	2285	2488	2396	3095	2393	1900
2010107G12Rik	2158	22	21	8	23	10	19
2010107G23Rik	1731	49	89	97	76	105	64
2010109A12Rik	548	2	7	7	2	2	0
2010109I03Rik	1887	6	0	0	0	0	0
2010111I01Rik	9141	196	199	241	239	210	175
2010204K13Rik	946	30	29	22	28	28	32
2010300C02Rik	4361	375	475	372	467	642	554
2010308F09Rik	701	14	15	2	15	11	1
2010310C07Rik	845	0	3	5	4	0	0
2010315B03Rik	2759	1	0	0	0	0	0
2010320M18Rik	745	201	185	136	150	142	187
2200002D01Rik	507	192	234	264	149	156	104
2200002J24Rik	610	1	1	4	3	2	8
2210010C04Rik	2142	6	0	0	3	0	0
2210011C24Rik	907	93	73	141	182	85	137
2210013O21Rik	856	2	0	2	7	0	0
2210015D19Rik	1840	183	257	264	317	207	136
2210016F16Rik	2822	970	1205	1104	1269	1227	1156
2210016L21Rik	1320	1008	1074	1108	1275	949	935
2210018M11Rik	4014	492	716	825	896	678	577
2210019I11Rik	1442	20	11	8	6	5	14
2210039B01Rik	1039	0	2	6	3	4	0
2210404E10Rik	583	0	2	0	0	0	0
2210404O09Rik	2221	61	137	120	94	150	102
2210406O10Rik	1704	8	0	14	8	4	10
2210407C18Rik	879	0	0	0	0	0	0
2210408F21Rik	1041	0	0	0	3	0	1
2210408I21Rik	5632	127	186	127	201	210	218
2210409D07Rik	458	0	0	0	0	0	0
2210409E12Rik	377	231	254	252	420	443	332
2210414B05Rik	874	0	0	0	0	2	0
2210416O15Rik	1504	0	6	4	2	2	0
2210417A02Rik	550	0	0	0	0	10	0
2210420H20Rik	627	0	0	0	0	6	4
2300002M23Rik	1248	8	0	2	10	8	4
2300003K06Rik	919	0	0	0	0	1	0
2300005B03Rik	464	0	0	0	0	0	0
2300009A05Rik	598	0	0	0	0	0	0
2310001H17Rik	769	0	0	0	0	3	0
2310001K24Rik	459	0	0	0	12	0	0
2310002D06Rik	508	3	3	4	4	3	6
2310002F09Rik	2554	4	0	0	0	0	0
2310002L09Rik	2158	0	0	0	0	0	6
2310003N18Rik	458	0	0	0	0	0	0
2310005A03Rik	1394	11	2	0	9	7	8
2310005E17Rik	1186	0	0	0	0	6	0
2310007B03Rik	2362	0	0	0	0	0	0
2310008N11Rik	564	0	2	0	2	6	2
2310009A05Rik	492	28	39	24	18	19	22
2310009B15Rik	571	11	16	18	11	14	14
2310010G23Rik	1038	8	10	10	4	2	10
2310010J17Rik	538	13	8	8	14	6	7
2310011J03Rik	1659	349	415	412	456	362	359
2310015A10Rik	4845	10	27	46	6	4	6
2310015D24Rik	2917	20	51	46	51	14	39
2310016D03Rik	1547	0	2	0	0	0	0
2310020H05Rik	718	0	0	7	0	2	0
2310022A10Rik	2719	631	615	730	640	468	479
2310022B05Rik	3307	100	110	104	64	105	62
2310030A07Rik	610	0	1	0	0	0	0
2310030G06Rik	1242	2	0	2	0	0	0
2310033P09Rik	1241	958	1302	1287	1431	1170	1134
2310034C09Rik	943	0	0	0	0	10	0
2310034G01Rik	788	2	0	1	8	4	6
2310034O05Rik	1107	0	0	4	0	0	0
2310035C23Rik	5406	954	1098	1120	1235	961	1180
2310036O22Rik	892	4713	5419	4562	5404	4280	3940
2310039H08Rik	773	92	98	108	98	79	68
2310039L15Rik	642	3	0	4	0	0	0
2310040G24Rik	775	958	1196	1098	1199	1016	549
2310043L19Rik	698	4	0	8	10	9	10
2310043O21Rik	621	2	10	2	6	0	0
2310045N01Rik	2783	196	213	187	306	164	156
2310045n01rik-mef2b	1549	0	0	0	0	0	0
2310047M10Rik	1802	252	290	305	452	480	375
2310050C09Rik	1067	0	0	0	0	0	0
2310057J18Rik	1319	0	0	0	0	0	0
2310057M21Rik	2214	521	643	558	559	554	544
2310057N15Rik	1026	0	0	0	2	0	0
2310061I04Rik	1240	140	171	165	149	170	87
2310061N02Rik	792	0	0	0	0	0	0
